source_package,target_package,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.filesandfolders,2,0,3,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.apis,1,0,1,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets,4,0,6,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.infrastructure,2,0,2,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.lineage,1,0,2,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.processes.actions,4,1,5,1,0,0,0,0,1,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.processes,1,0,1,2,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.connections,3,0,11,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.types,9,0,0,0,0,0,0,0,0,46,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.validvalues,0,1,11,2,0,0,0,0,1,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.contextevents,4,0,8,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.solutions,1,0,6,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.auditlog.requestid,1,1,0,2,0,0,0,0,1,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.fileclassifier,1,1,0,1,1,0,0,0,1,1,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.enums,7,1,3,0,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.feedback,6,0,10,0,0,0,0,0,0,0,0,0,0,0
